"customer_city","customer_state","total_sales"
"rio de janeiro","RJ","325852833.83"
"sao paulo","SP","196911310.44"
"belo horizonte","MG","114087356.52"
"niteroi","RJ","76032491.78"
"curitiba","PR","40672264.74"
"santos","SP","37379097.32"
"porto alegre","RS","37224648.37"
"salvador","BA","31202471.91"
"uberlandia","MG","29594577.11"
"campinas","SP","25350088.16"
"divinopolis","MG","22493995.03"
"florianopolis","SC","22421969.07"
"santo andre","SP","22201273.51"
"sao bernardo do campo","SP","21671797.65"
"jundiai","SP","18530637.75"
"guarulhos","SP","17569021.29"
"vitoria","ES","17045759.85"
"montes claros","MG","16916019.51"
"vila velha","ES","16210518.51"
"ipatinga","MG","15446135.42"
"brasilia","DF","15373721.34"
"sao jose dos campos","SP","15208265.42"
"araruama","RJ","14262665.15"
"ribeirao preto","SP","13791304.75"
"recife","PE","12986166.64"
"juiz de fora","MG","12490026.51"
"praia grande","SP","12437086.74"
"vicosa","MG","11959343.86"
"barueri","SP","11586551.02"
"sete lagoas","MG","11227680.40"
"sorocaba","SP","11177787.90"
"maua","SP","10779268.51"
"osasco","SP","10752008.96"
"lavras","MG","10654340.16"
"belem","PA","10478343.74"
"mogi das cruzes","SP","10072502.33"
"itanhaem","SP","9750775.04"
"pocos de caldas","MG","9627587.26"
"balneario camboriu","SC","9160576.87"
"ubatuba","SP","9056477.64"
"goiania","GO","8879207.91"
"nova iguacu","RJ","8528488.18"
"sao caetano do sul","SP","7986791.74"
"londrina","PR","7848838.50"
"maringa","PR","7783098.72"
"campos dos goytacazes","RJ","7493255.75"
"maceio","AL","7290793.45"
"conselheiro lafaiete","MG","7208298.91"
"fortaleza","CE","7174743.69"
"santa maria","RS","7003609.92"
"franca","SP","6967334.36"
"sao carlos","SP","6942380.60"
"sao jose do rio preto","SP","6910272.58"
"contagem","MG","6761209.22"
"paracatu","MG","6659171.88"
"pouso alegre","MG","6648037.47"
"indaiatuba","SP","6623279.79"
"itabira","MG","6523827.13"
"sao luis","MA","6443161.12"
"bertioga","SP","6411926.08"
"piracicaba","SP","6255498.56"
"mairipora","SP","6083174.92"
"campo grande","MS","6079428.52"
"rio claro","SP","5993657.28"
"araraquara","SP","5960239.79"
"diadema","SP","5957417.79"
"manhuacu","MG","5850362.88"
"porto seguro","BA","5762329.90"
"bauru","SP","5760384.07"
"rio das ostras","RJ","5620977.40"
"sao goncalo","RJ","5581511.35"
"cuiaba","MT","5382372.65"
"lagoa santa","MG","5093887.84"
"sao vicente","SP","5071850.53"
"taboao da serra","SP","4978870.92"
"guaruja","SP","4965161.37"
"unai","MG","4951609.14"
"jaguariuna","SP","4822290.60"
"caratinga","MG","4811505.00"
"itaperuna","RJ","4703456.28"
"pelotas","RS","4648998.76"
"macae","RJ","4578978.31"
"ouro preto","MG","4501160.76"
"joao pessoa","PB","4469834.87"
"passo fundo","RS","4463128.40"
"patos de minas","MG","4454800.52"
"joinville","SC","4426432.42"
"cotia","SP","4407486.64"
"serra","ES","4350928.14"
"carapicuiba","SP","4328872.98"
"boituva","SP","4287264.80"
"santana de parnaiba","SP","4286653.88"
"taubate","SP","4260129.64"
"fernandopolis","SP","4238246.88"
"petropolis","RJ","4226105.62"
"caxias do sul","RS","4194262.21"
"paulinia","SP","4171210.90"
