"category_name","total_sales"
"bed_bath_table","1712553.67"
"health_beauty","1657373.12"
"computers_accessories","1585330.45"
"furniture_decor","1430176.39"
"watches_gifts","1429216.68"
"sports_leisure","1392127.56"
"housewares","1094758.13"
"auto","852294.33"
"garden_tools","838280.75"
"cool_stuff","779698.00"
"office_furniture","646826.49"
"toys","619037.69"
"baby","539845.66"
"perfumery","506738.66"
"telephony","486882.05"
"stationery","317440.07"
"pet_shop","311268.97"
"computers","279121.55"
"electronics","259857.10"
"construction_tools_construction","241475.63"
"musical_instruments","233074.12"
"small_appliances","225584.38"
"fashion_bags_accessories","218158.28"
"fixed_telephony","207010.26"
"consoles_games","195480.38"
"luggage_accessories","187151.29"
"home_construction","136645.29"
"furniture_living_room","136138.77"
"home_appliances_2","124563.46"
"agro_industry_and_commerce","118730.61"
"home_appliances","95532.27"
"air_conditioning","91170.66"
"home_confort","84329.06"
"kitchen_dining_laundry_garden_furniture","74660.98"
"construction_tools_lights","72712.48"
"drinks","71429.65"
"signaling_and_security","68488.05"
"construction_tools_safety","65691.03"
"books_general_interest","64694.76"
"audio","60324.62"
"industry_commerce_and_business","56745.76"
"small_appliances_home_oven_and_coffee","51229.32"
"food","46428.67"
"market_place","45335.92"
"costruction_tools_garden","42394.41"
"fashion_shoes","32422.74"
"furniture_bedroom","31598.94"
"art","30992.93"
"food_drink","27289.73"
"books_technical","24915.44"
"costruction_tools_tools","21069.07"
"christmas_supplies","18994.77"
"fashion_male_clothing","17290.98"
"fashion_underwear_beach","12714.54"
"tablets_printing_image","10042.93"
"cine_photo","9530.32"
"dvds_blu_ray","7935.28"
"music","6901.43"
"books_imported","6701.89"
"furniture_mattress_and_upholstery","5998.54"
"party_supplies","5966.31"
"fashio_female_clothing","5109.62"
"portable_kitchen_and_preparers_of_food","4335.65"
"diapers_and_hygiene","4221.25"
"fashion_sport","3645.92"
"la_cuisine","2913.53"
"arts_and_craftmanship","2326.17"
"flowers","2213.01"
"pc_gamer","2174.43"
"home_comfort_2","1710.54"
"cds_dvds_musicals","1199.43"
"fashion_childrens_clothes","785.67"
"security_and_services","324.51"
