"seller_id","total_sales","cnt_approved_order"
"4869f7a5dfa277a7dca6462dcf3b52b2","249640.70","1156"
"7c67e1448b00f6e969d365cea6b010ab","239536.44","1364"
"53243585a1d6dc2643021fd1853d8905","235856.68","410"
"4a3ca9315b744ce9f8e9374361493884","235539.96","1987"
"fa1c13f2614d7b5c4749cbc52fecda94","204084.73","586"
"da8622b14eb17ae2831f4ac5b9dab84a","185192.32","1551"
"7e93a43ef30c4f03f38b393420bc753a","182754.05","340"
"1025f0e2d44d7041d6cf58b6550e0bfa","172860.69","1428"
"7a67c85e85bb2ce8582c35f2203ad736","162648.38","1168"
"955fee9216a65b617aa5c0531780ce60","160602.68","1499"
"6560211a19b47992c3666cc44a7e94c0","151265.77","2033"
"1f50f920176fa81dab994f9023523100","142104.98","1931"
"46dc3b2cc0980fb8ec44634e21d2718e","139909.69","542"
"a1043bafd471dff536d0c462352beb48","133745.25","770"
"cc419e0650a3c5ba77189a1882b7556a","129957.41","1775"
"620c87c171fb2a6dd6e8bb4dec959fc6","128909.71","798"
"5dceca129747e92ff8ef7a997dc4f8ca","125816.92","346"
"7d13fca15225358621be4086e1eb0964","122261.02","578"
"3d871de0142ce09b7081e2b9d1733cb1","117347.71","1147"
"edb1ef5e36e0c8cd84eb3c9b003e486d","83189.65","175"
"ccc4bbb5f32a6ab2b7066a4130f114e3","79261.60","192"
"cca3071e3e9bb7d12640c9fbe2301306","78381.29","827"
"8581055ce74af1daba164fdbd55a40de","74584.30","435"
"f7ba60f8c3f99e7ee4042fdef03b70c4","72736.01","230"
"fe2032dab1a61af8794248c8196565c9","70680.95","306"
"de722cd6dad950a92b7d4f82673f8833","65112.75","379"
"7ddcbb64b5bc1ef36ca8c151f6ec77df","63525.29","343"
"04308b1ee57b6625f47df1d56f00eedf","63184.99","94"
"f8db351d8c4c4c22c6835c19a46f01b0","63079.80","724"
"218d46b86c1881d022bce9c68a7d4b15","62737.54","427"
"522620dcb18a6b31cd7bdf73665113a9","61829.81","180"
"25c5c91f63607446a97b143d2d535d31","61679.33","269"
"17e34d8224d27a541263c4c64b11a56b","61603.20","268"
"37be5a7c751166fbc5f8ccba4119e043","61433.88","281"
"ceaec5548eefc6e23e6607c5435102e7","59249.02","211"
"b2ba3715d723d245138f291a6fe42594","58173.02","363"
"17f51e7198701186712e53a39c564617","57812.43","61"
"f5a590cf36251cf1162ea35bef76fe84","57440.94","122"
"77530e9772f57a62c906e1c21538ab82","55063.99","389"
"8160255418d5aaa7dbdc9f4c64ebda44","54871.50","431"
"ea8482cd71df3c1969d7b9473ff13abc","54722.29","1203"
"e882b2a25a10b9c057cc49695f222c19","53913.76","58"
"4e922959ae960d389249c378d1c939f5","53304.75","454"
"e9779976487b77c6d4ac45f75ec7afe9","53302.66","750"
"966cb4760537b1404caedd472cc610a5","52935.87","75"
"2bf6a2c1e71bbd29a4ad64e6d3c3629f","51629.49","31"
"4d6d651bd7684af3fffabd5f08d12e5a","51486.31","395"
"c826c40d7b19f62a09e2d7c5e7295ee2","51217.22","373"
"d91fb3b7d041e83b64a00a3edfb37e4f","50180.51","536"
"391fc6631aebcf3004804e51b40bcf1e","50142.83","613"
"17a053fcb14bd219540cbde0df490be0","49531.57","149"
"c3cfdc648177fdbbbb35635a37472c53","49127.81","307"
"06a2c3af7b3aee5d69171b0e14f0ee87","48550.24","405"
"850f4f8af5ea87287ac68de36e29107f","48469.77","192"
"b33e7c55446eabf8fe1a42d037ac7d6d","47710.24","155"
"eeb6de78f79159600292e314a77cbd18","46795.28","84"
"712e6ed8aa4aa1fa65dab41fed5737e4","46704.13","87"
"2eb70248d66e0e3ef83659f71b244378","45860.10","212"
"ba90964cff9b9e0e6f32b23b82465f7b","45523.50","38"
"634964b17796e64304cadf1ad3050fb7","45420.53","326"
"7142540dd4c91e2237acb7e911c4eba2","44289.16","331"
"834f3294fba9f932f56edc879193f925","44207.42","66"
"b839e41795b7f3ad94cc2014a52f6796","43749.93","36"
"c3867b4666c7d76867627c2f7fb22e21","42197.18","259"
"1835b56ce799e6a4dc4eddc053f04066","42086.16","558"
"dbc22125167c298ef99da25668e1011f","41789.16","429"
"7299e27ed73d2ad986de7f7c77d919fa","41581.08","361"
"7178f9f4dd81dcef02f62acdf8151e01","41478.92","216"
"c70c1b0d8ca86052f45a432a38b73958","40476.28","338"
"53e4c6e0f4312d4d2107a8c9cddf45cd","40036.19","522"
"855668e0971d4dfd7bef1b6a4133b41b","40005.36","327"
"e9bc59e7b60fc3063eb2290deda4cced","39031.56","269"
"87142160b41353c4e5fca2360caf6f92","38314.31","339"
"0241d4d5d36f10f80c644447315af0bd","38251.61","246"
"59417c56835dd8e2e72f91f809cd4092","37657.77","18"
"76d5af76d0271110f9af36c92573f765","37541.56","159"
"9c0e69c7bf2619675bbadf47b43f655a","36602.96","206"
"88460e8ebdecbfecb5f9601833981930","36543.10","302"
"70a12e78e608ac31179aea7f8422044b","36465.44","328"
"2528513dd95219a6013d4d05176e391a","36438.75","167"
"1554a68530182680ad5c8b042c3ab563","35850.79","269"
"7681ef142fd2c19048da7430856b5588","34857.93","77"
"70eea00b476a314817cefde4aad4f89a","34764.17","114"
"5c243662ce92d84573bfaff24c3e3700","34637.66","100"
"001cca7ae9ae17fb1caed9dfb1094831","33934.17","239"
"e59aa562b9f8076dd550fcddf0e73491","33803.97","84"
